"","X_geoid","NAME","Year","Population"
"1",5000100325,"Addison town, Addison County, Vermont","1791",402
"2",5000100325,"Addison town, Addison County, Vermont","1800",734
"3",5000100325,"Addison town, Addison County, Vermont","1810",1100
"4",5000100325,"Addison town, Addison County, Vermont","1820",1210
"5",5000100325,"Addison town, Addison County, Vermont","1830",1306
"6",5000100325,"Addison town, Addison County, Vermont","1840",1232
"7",5000100325,"Addison town, Addison County, Vermont","1850",1279
"8",5000100325,"Addison town, Addison County, Vermont","1860",1000
"9",5000100325,"Addison town, Addison County, Vermont","1870",911
"10",5000100325,"Addison town, Addison County, Vermont","1880",847
"11",5000100325,"Addison town, Addison County, Vermont","1890",900
"12",5000100325,"Addison town, Addison County, Vermont","1900",851
"13",5000100325,"Addison town, Addison County, Vermont","1910",796
"14",5000100325,"Addison town, Addison County, Vermont","1920",743
"15",5000100325,"Addison town, Addison County, Vermont","1930",684
"16",5000100325,"Addison town, Addison County, Vermont","1940",576
"17",5000100325,"Addison town, Addison County, Vermont","1950",628
"18",5000100325,"Addison town, Addison County, Vermont","1960",645
"19",5000100325,"Addison town, Addison County, Vermont","1970",717
"20",5000100325,"Addison town, Addison County, Vermont","1980",889
"21",5000100325,"Addison town, Addison County, Vermont","1990",1023
"22",5000100325,"Addison town, Addison County, Vermont","2000",1393
"23",5000100325,"Addison town, Addison County, Vermont","2010",1371
"24",5000100325,"Addison town, Addison County, Vermont","2020",1365
"25",5001900475,"Albany town, Orleans County, Vermont","1791",0
"26",5001900475,"Albany town, Orleans County, Vermont","1800",0
"27",5001900475,"Albany town, Orleans County, Vermont","1810",101
"28",5001900475,"Albany town, Orleans County, Vermont","1820",253
"29",5001900475,"Albany town, Orleans County, Vermont","1830",683
"30",5001900475,"Albany town, Orleans County, Vermont","1840",920
"31",5001900475,"Albany town, Orleans County, Vermont","1850",1052
"32",5001900475,"Albany town, Orleans County, Vermont","1860",1224
"33",5001900475,"Albany town, Orleans County, Vermont","1870",1151
"34",5001900475,"Albany town, Orleans County, Vermont","1880",1138
"35",5001900475,"Albany town, Orleans County, Vermont","1890",995
"36",5001900475,"Albany town, Orleans County, Vermont","1900",1028
"37",5001900475,"Albany town, Orleans County, Vermont","1910",920
"38",5001900475,"Albany town, Orleans County, Vermont","1920",840
"39",5001900475,"Albany town, Orleans County, Vermont","1930",810
"40",5001900475,"Albany town, Orleans County, Vermont","1940",748
"41",5001900475,"Albany town, Orleans County, Vermont","1950",704
"42",5001900475,"Albany town, Orleans County, Vermont","1960",560
"43",5001900475,"Albany town, Orleans County, Vermont","1970",528
"44",5001900475,"Albany town, Orleans County, Vermont","1980",705
"45",5001900475,"Albany town, Orleans County, Vermont","1990",782
"46",5001900475,"Albany town, Orleans County, Vermont","2000",840
"47",5001900475,"Albany town, Orleans County, Vermont","2010",941
"48",5001900475,"Albany town, Orleans County, Vermont","2020",976
"49",5001300860,"Alburgh town, Grand Isle County, Vermont","1791",446
"50",5001300860,"Alburgh town, Grand Isle County, Vermont","1800",750
"51",5001300860,"Alburgh town, Grand Isle County, Vermont","1810",1106
"52",5001300860,"Alburgh town, Grand Isle County, Vermont","1820",1172
"53",5001300860,"Alburgh town, Grand Isle County, Vermont","1830",1239
"54",5001300860,"Alburgh town, Grand Isle County, Vermont","1840",1344
"55",5001300860,"Alburgh town, Grand Isle County, Vermont","1850",1568
"56",5001300860,"Alburgh town, Grand Isle County, Vermont","1860",1793
"57",5001300860,"Alburgh town, Grand Isle County, Vermont","1870",1716
"58",5001300860,"Alburgh town, Grand Isle County, Vermont","1880",1614
"59",5001300860,"Alburgh town, Grand Isle County, Vermont","1890",1390
"60",5001300860,"Alburgh town, Grand Isle County, Vermont","1900",1474
"61",5001300860,"Alburgh town, Grand Isle County, Vermont","1910",1311
"62",5001300860,"Alburgh town, Grand Isle County, Vermont","1920",1491
"63",5001300860,"Alburgh town, Grand Isle County, Vermont","1930",1609
"64",5001300860,"Alburgh town, Grand Isle County, Vermont","1940",1623
"65",5001300860,"Alburgh town, Grand Isle County, Vermont","1950",1402
"66",5001300860,"Alburgh town, Grand Isle County, Vermont","1960",1123
"67",5001300860,"Alburgh town, Grand Isle County, Vermont","1970",1271
"68",5001300860,"Alburgh town, Grand Isle County, Vermont","1980",1352
"69",5001300860,"Alburgh town, Grand Isle County, Vermont","1990",1362
"70",5001300860,"Alburgh town, Grand Isle County, Vermont","2000",1952
"71",5001300860,"Alburgh town, Grand Isle County, Vermont","2010",1998
"72",5001300860,"Alburgh town, Grand Isle County, Vermont","2020",2106
"73",5002701300,"Andover town, Windsor County, Vermont","1791",275
"74",5002701300,"Andover town, Windsor County, Vermont","1800",1016
"75",5002701300,"Andover town, Windsor County, Vermont","1810",957
"76",5002701300,"Andover town, Windsor County, Vermont","1820",1000
"77",5002701300,"Andover town, Windsor County, Vermont","1830",975
"78",5002701300,"Andover town, Windsor County, Vermont","1840",877
"79",5002701300,"Andover town, Windsor County, Vermont","1850",725
"80",5002701300,"Andover town, Windsor County, Vermont","1860",670
"81",5002701300,"Andover town, Windsor County, Vermont","1870",588
"82",5002701300,"Andover town, Windsor County, Vermont","1880",564
"83",5002701300,"Andover town, Windsor County, Vermont","1890",418
"84",5002701300,"Andover town, Windsor County, Vermont","1900",372
"85",5002701300,"Andover town, Windsor County, Vermont","1910",284
"86",5002701300,"Andover town, Windsor County, Vermont","1920",294
"87",5002701300,"Andover town, Windsor County, Vermont","1930",258
"88",5002701300,"Andover town, Windsor County, Vermont","1940",213
"89",5002701300,"Andover town, Windsor County, Vermont","1950",185
"90",5002701300,"Andover town, Windsor County, Vermont","1960",215
"91",5002701300,"Andover town, Windsor County, Vermont","1970",239
"92",5002701300,"Andover town, Windsor County, Vermont","1980",350
"93",5002701300,"Andover town, Windsor County, Vermont","1990",373
"94",5002701300,"Andover town, Windsor County, Vermont","2000",496
"95",5002701300,"Andover town, Windsor County, Vermont","2010",467
"96",5002701300,"Andover town, Windsor County, Vermont","2020",568
"97",5000301450,"Arlington town, Bennington County, Vermont","1791",992
"98",5000301450,"Arlington town, Bennington County, Vermont","1800",1597
"99",5000301450,"Arlington town, Bennington County, Vermont","1810",1468
"100",5000301450,"Arlington town, Bennington County, Vermont","1820",1354
"101",5000301450,"Arlington town, Bennington County, Vermont","1830",1207
"102",5000301450,"Arlington town, Bennington County, Vermont","1840",1038
"103",5000301450,"Arlington town, Bennington County, Vermont","1850",1084
"104",5000301450,"Arlington town, Bennington County, Vermont","1860",1146
"105",5000301450,"Arlington town, Bennington County, Vermont","1870",1636
"106",5000301450,"Arlington town, Bennington County, Vermont","1880",1532
"107",5000301450,"Arlington town, Bennington County, Vermont","1890",1352
"108",5000301450,"Arlington town, Bennington County, Vermont","1900",1193
"109",5000301450,"Arlington town, Bennington County, Vermont","1910",1307
"110",5000301450,"Arlington town, Bennington County, Vermont","1920",1370
"111",5000301450,"Arlington town, Bennington County, Vermont","1930",1441
"112",5000301450,"Arlington town, Bennington County, Vermont","1940",1418
"113",5000301450,"Arlington town, Bennington County, Vermont","1950",1463
"114",5000301450,"Arlington town, Bennington County, Vermont","1960",1605
"115",5000301450,"Arlington town, Bennington County, Vermont","1970",1934
"116",5000301450,"Arlington town, Bennington County, Vermont","1980",2184
"117",5000301450,"Arlington town, Bennington County, Vermont","1990",2299
"118",5000301450,"Arlington town, Bennington County, Vermont","2000",2397
"119",5000301450,"Arlington town, Bennington County, Vermont","2010",2317
"120",5000301450,"Arlington town, Bennington County, Vermont","2020",2457
"121",5002501900,"Athens town, Windham County, Vermont","1791",450
"122",5002501900,"Athens town, Windham County, Vermont","1800",459
"123",5002501900,"Athens town, Windham County, Vermont","1810",478
"124",5002501900,"Athens town, Windham County, Vermont","1820",507
"125",5002501900,"Athens town, Windham County, Vermont","1830",415
"126",5002501900,"Athens town, Windham County, Vermont","1840",358
"127",5002501900,"Athens town, Windham County, Vermont","1850",359
"128",5002501900,"Athens town, Windham County, Vermont","1860",382
"129",5002501900,"Athens town, Windham County, Vermont","1870",295
"130",5002501900,"Athens town, Windham County, Vermont","1880",284
"131",5002501900,"Athens town, Windham County, Vermont","1890",205
"132",5002501900,"Athens town, Windham County, Vermont","1900",180
"133",5002501900,"Athens town, Windham County, Vermont","1910",201
"134",5002501900,"Athens town, Windham County, Vermont","1920",123
"135",5002501900,"Athens town, Windham County, Vermont","1930",132
"136",5002501900,"Athens town, Windham County, Vermont","1940",136
"137",5002501900,"Athens town, Windham County, Vermont","1950",139
"138",5002501900,"Athens town, Windham County, Vermont","1960",142
"139",5002501900,"Athens town, Windham County, Vermont","1970",159
"140",5002501900,"Athens town, Windham County, Vermont","1980",250
"141",5002501900,"Athens town, Windham County, Vermont","1990",313
"142",5002501900,"Athens town, Windham County, Vermont","2000",340
"143",5002501900,"Athens town, Windham County, Vermont","2010",442
"144",5002501900,"Athens town, Windham County, Vermont","2020",380
"145",5000902125,"Averill town, Essex County, Vermont","1791",0
"146",5000902125,"Averill town, Essex County, Vermont","1800",0
