year,GEOID,NAME,estimate
2009,5000100325,"Addison town, Addison County, Vermont",222500
2009,5000108575,"Bridport town, Addison County, Vermont",217200
2009,5000109025,"Bristol town, Addison County, Vermont",203400
2009,5000116000,"Cornwall town, Addison County, Vermont",248900
2009,5000126300,"Ferrisburgh town, Addison County, Vermont",292300
2009,5000128600,"Goshen town, Addison County, Vermont",190000
2009,5000129575,"Granville town, Addison County, Vermont",149500
2009,5000131525,"Hancock town, Addison County, Vermont",129200
2009,5000139325,"Leicester town, Addison County, Vermont",176700
2009,5000140075,"Lincoln town, Addison County, Vermont",222400
2009,5000144350,"Middlebury town, Addison County, Vermont",194800
2009,5000145550,"Monkton town, Addison County, Vermont",240700
2009,5000148700,"New Haven town, Addison County, Vermont",233800
2009,5000153725,"Orwell town, Addison County, Vermont",196500
2009,5000153950,"Panton town, Addison County, Vermont",243200
2009,5000159650,"Ripton town, Addison County, Vermont",209400
2009,5000162575,"Salisbury town, Addison County, Vermont",184000
2009,5000165050,"Shoreham town, Addison County, Vermont",207100
2009,5000170075,"Starksboro town, Addison County, Vermont",181500
2009,5000174650,"Vergennes city, Addison County, Vermont",182900
2009,5000176075,"Waltham town, Addison County, Vermont",238300
2009,5000183275,"Weybridge town, Addison County, Vermont",308500
2009,5000183800,"Whiting town, Addison County, Vermont",184400
2009,5000301450,"Arlington town, Bennington County, Vermont",223800
2009,5000304825,"Bennington town, Bennington County, Vermont",155400
2009,5000317725,"Dorset town, Bennington County, Vermont",473600
2009,5000327962,"Glastenbury town, Bennington County, Vermont",NA
2009,5000339025,"Landgrove town, Bennington County, Vermont",434400
2009,5000342850,"Manchester town, Bennington County, Vermont",348100
2009,5000355000,"Peru town, Bennington County, Vermont",259700
2009,5000357025,"Pownal town, Bennington County, Vermont",162400
2009,5000358600,"Readsboro town, Bennington County, Vermont",144700
2009,5000361000,"Rupert town, Bennington County, Vermont",255800
2009,5000362875,"Sandgate town, Bennington County, Vermont",208300
2009,5000363175,"Searsburg town, Bennington County, Vermont",118300
2009,5000363550,"Shaftsbury town, Bennington County, Vermont",193400
2009,5000369775,"Stamford town, Bennington County, Vermont",181400
2009,5000371425,"Sunderland town, Bennington County, Vermont",228200
2009,5000385075,"Winhall town, Bennington County, Vermont",312000
2009,5000385675,"Woodford town, Bennington County, Vermont",143100
2009,5000502875,"Barnet town, Caledonia County, Vermont",158600
2009,5000510450,"Burke town, Caledonia County, Vermont",167800
2009,5000517125,"Danville town, Caledonia County, Vermont",162000
2009,5000530550,"Groton town, Caledonia County, Vermont",128800
2009,5000531825,"Hardwick town, Caledonia County, Vermont",120700
2009,5000537900,"Kirby town, Caledonia County, Vermont",175000
2009,5000541725,"Lyndon town, Caledonia County, Vermont",130900
2009,5000547725,"Newark town, Caledonia County, Vermont",161000
2009,5000554400,"Peacham town, Caledonia County, Vermont",212900
2009,5000561525,"Ryegate town, Caledonia County, Vermont",128600
2009,5000562200,"St. Johnsbury town, Caledonia County, Vermont",147100
2009,5000564075,"Sheffield town, Caledonia County, Vermont",108700
2009,5000569925,"Stannard town, Caledonia County, Vermont",91300
2009,5000571575,"Sutton town, Caledonia County, Vermont",112500
2009,5000575700,"Walden town, Caledonia County, Vermont",142400
2009,5000577125,"Waterford town, Caledonia County, Vermont",211900
2009,5000583500,"Wheelock town, Caledonia County, Vermont",142000
2009,5000706550,"Bolton town, Chittenden County, Vermont",206200
2009,5000710300,"Buels gore, Chittenden County, Vermont",NA
2009,5000710675,"Burlington city, Chittenden County, Vermont",249900
2009,5000713300,"Charlotte town, Chittenden County, Vermont",424600
2009,5000714875,"Colchester town, Chittenden County, Vermont",223500
2009,5000724175,"Essex town, Chittenden County, Vermont",247400
2009,5000733475,"Hinesburg town, Chittenden County, Vermont",237500
2009,5000734600,"Huntington town, Chittenden County, Vermont",218000
2009,5000736700,"Jericho town, Chittenden County, Vermont",244500
2009,5000745250,"Milton town, Chittenden County, Vermont",222400
2009,5000759275,"Richmond town, Chittenden County, Vermont",231400
2009,5000762050,"St. George town, Chittenden County, Vermont",188900
2009,5000764300,"Shelburne town, Chittenden County, Vermont",328900
2009,5000766175,"South Burlington city, Chittenden County, Vermont",243900
2009,5000773975,"Underhill town, Chittenden County, Vermont",276200
2009,5000780350,"Westford town, Chittenden County, Vermont",240700
2009,5000784475,"Williston town, Chittenden County, Vermont",295500
2009,5000785150,"Winooski city, Chittenden County, Vermont",206000
2009,5000902125,"Averill town, Essex County, Vermont",NA
2009,5000902162,"Avery's gore, Essex County, Vermont",NA
