year,GEOID,NAME,variable,estimate
2009,5000100325,"Addison town, Addison County, Vermont",Mortgaged SMOC,1481
2009,5000100325,"Addison town, Addison County, Vermont",Non-Mortgaged SMOC,605
2009,5000108575,"Bridport town, Addison County, Vermont",Mortgaged SMOC,1524
2009,5000108575,"Bridport town, Addison County, Vermont",Non-Mortgaged SMOC,650
2009,5000109025,"Bristol town, Addison County, Vermont",Mortgaged SMOC,1295
2009,5000109025,"Bristol town, Addison County, Vermont",Non-Mortgaged SMOC,544
2009,5000116000,"Cornwall town, Addison County, Vermont",Mortgaged SMOC,1567
2009,5000116000,"Cornwall town, Addison County, Vermont",Non-Mortgaged SMOC,683
2009,5000126300,"Ferrisburgh town, Addison County, Vermont",Mortgaged SMOC,1638
2009,5000126300,"Ferrisburgh town, Addison County, Vermont",Non-Mortgaged SMOC,559
2009,5000128600,"Goshen town, Addison County, Vermont",Mortgaged SMOC,1268
2009,5000128600,"Goshen town, Addison County, Vermont",Non-Mortgaged SMOC,570
2009,5000129575,"Granville town, Addison County, Vermont",Mortgaged SMOC,1338
2009,5000129575,"Granville town, Addison County, Vermont",Non-Mortgaged SMOC,444
2009,5000131525,"Hancock town, Addison County, Vermont",Mortgaged SMOC,985
2009,5000131525,"Hancock town, Addison County, Vermont",Non-Mortgaged SMOC,367
2009,5000139325,"Leicester town, Addison County, Vermont",Mortgaged SMOC,1227
2009,5000139325,"Leicester town, Addison County, Vermont",Non-Mortgaged SMOC,453
2009,5000140075,"Lincoln town, Addison County, Vermont",Mortgaged SMOC,1342
2009,5000140075,"Lincoln town, Addison County, Vermont",Non-Mortgaged SMOC,499
2009,5000144350,"Middlebury town, Addison County, Vermont",Mortgaged SMOC,1397
2009,5000144350,"Middlebury town, Addison County, Vermont",Non-Mortgaged SMOC,605
2009,5000145550,"Monkton town, Addison County, Vermont",Mortgaged SMOC,1563
2009,5000145550,"Monkton town, Addison County, Vermont",Non-Mortgaged SMOC,513
2009,5000148700,"New Haven town, Addison County, Vermont",Mortgaged SMOC,1583
2009,5000148700,"New Haven town, Addison County, Vermont",Non-Mortgaged SMOC,603
2009,5000153725,"Orwell town, Addison County, Vermont",Mortgaged SMOC,1388
2009,5000153725,"Orwell town, Addison County, Vermont",Non-Mortgaged SMOC,505
2009,5000153950,"Panton town, Addison County, Vermont",Mortgaged SMOC,1500
2009,5000153950,"Panton town, Addison County, Vermont",Non-Mortgaged SMOC,764
2009,5000159650,"Ripton town, Addison County, Vermont",Mortgaged SMOC,1183
2009,5000159650,"Ripton town, Addison County, Vermont",Non-Mortgaged SMOC,563
2009,5000162575,"Salisbury town, Addison County, Vermont",Mortgaged SMOC,1144
2009,5000162575,"Salisbury town, Addison County, Vermont",Non-Mortgaged SMOC,590
2009,5000165050,"Shoreham town, Addison County, Vermont",Mortgaged SMOC,1443
2009,5000165050,"Shoreham town, Addison County, Vermont",Non-Mortgaged SMOC,636
2009,5000170075,"Starksboro town, Addison County, Vermont",Mortgaged SMOC,1358
2009,5000170075,"Starksboro town, Addison County, Vermont",Non-Mortgaged SMOC,536
2009,5000174650,"Vergennes city, Addison County, Vermont",Mortgaged SMOC,1443
2009,5000174650,"Vergennes city, Addison County, Vermont",Non-Mortgaged SMOC,583
2009,5000176075,"Waltham town, Addison County, Vermont",Mortgaged SMOC,1575
2009,5000176075,"Waltham town, Addison County, Vermont",Non-Mortgaged SMOC,483
2009,5000183275,"Weybridge town, Addison County, Vermont",Mortgaged SMOC,1984
2009,5000183275,"Weybridge town, Addison County, Vermont",Non-Mortgaged SMOC,650
2009,5000183800,"Whiting town, Addison County, Vermont",Mortgaged SMOC,1259
