year,GEOID,NAME,variable,estimate
2011,5000100325,"Addison town, Addison County, Vermont",DP03_0092,32250
2011,5000100325,"Addison town, Addison County, Vermont",DP03_0093,42500
2011,5000100325,"Addison town, Addison County, Vermont",DP03_0094,32200
2011,5000108575,"Bridport town, Addison County, Vermont",DP03_0092,25825
2011,5000108575,"Bridport town, Addison County, Vermont",DP03_0093,41579
2011,5000108575,"Bridport town, Addison County, Vermont",DP03_0094,34258
2011,5000109025,"Bristol town, Addison County, Vermont",DP03_0092,31336
2011,5000109025,"Bristol town, Addison County, Vermont",DP03_0093,44327
2011,5000109025,"Bristol town, Addison County, Vermont",DP03_0094,38750
2011,5000116000,"Cornwall town, Addison County, Vermont",DP03_0092,39107
2011,5000116000,"Cornwall town, Addison County, Vermont",DP03_0093,67566
2011,5000116000,"Cornwall town, Addison County, Vermont",DP03_0094,39231
2011,5000126300,"Ferrisburgh town, Addison County, Vermont",DP03_0092,35884
2011,5000126300,"Ferrisburgh town, Addison County, Vermont",DP03_0093,48871
2011,5000126300,"Ferrisburgh town, Addison County, Vermont",DP03_0094,34565
2011,5000128600,"Goshen town, Addison County, Vermont",DP03_0092,30750
2011,5000128600,"Goshen town, Addison County, Vermont",DP03_0093,51250
2011,5000128600,"Goshen town, Addison County, Vermont",DP03_0094,31944
2011,5000129575,"Granville town, Addison County, Vermont",DP03_0092,22222
2011,5000129575,"Granville town, Addison County, Vermont",DP03_0093,39107
2011,5000129575,"Granville town, Addison County, Vermont",DP03_0094,37500
2011,5000131525,"Hancock town, Addison County, Vermont",DP03_0092,25547
2011,5000131525,"Hancock town, Addison County, Vermont",DP03_0093,43750
2011,5000131525,"Hancock town, Addison County, Vermont",DP03_0094,26250
2011,5000139325,"Leicester town, Addison County, Vermont",DP03_0092,26964
2011,5000139325,"Leicester town, Addison County, Vermont",DP03_0093,38864
2011,5000139325,"Leicester town, Addison County, Vermont",DP03_0094,30833
2011,5000140075,"Lincoln town, Addison County, Vermont",DP03_0092,31655
2011,5000140075,"Lincoln town, Addison County, Vermont",DP03_0093,46528
2011,5000140075,"Lincoln town, Addison County, Vermont",DP03_0094,39000
2011,5000144350,"Middlebury town, Addison County, Vermont",DP03_0092,8676
2011,5000144350,"Middlebury town, Addison County, Vermont",DP03_0093,55028
2011,5000144350,"Middlebury town, Addison County, Vermont",DP03_0094,34286
2011,5000145550,"Monkton town, Addison County, Vermont",DP03_0092,34904
2011,5000145550,"Monkton town, Addison County, Vermont",DP03_0093,48839
2011,5000145550,"Monkton town, Addison County, Vermont",DP03_0094,36591
2011,5000148700,"New Haven town, Addison County, Vermont",DP03_0092,34007
2011,5000148700,"New Haven town, Addison County, Vermont",DP03_0093,45962
2011,5000148700,"New Haven town, Addison County, Vermont",DP03_0094,40000
2011,5000153725,"Orwell town, Addison County, Vermont",DP03_0092,30076
2011,5000153725,"Orwell town, Addison County, Vermont",DP03_0093,39250
2011,5000153725,"Orwell town, Addison County, Vermont",DP03_0094,38300
2011,5000153950,"Panton town, Addison County, Vermont",DP03_0092,24886
2011,5000153950,"Panton town, Addison County, Vermont",DP03_0093,44911
2011,5000153950,"Panton town, Addison County, Vermont",DP03_0094,27426
2011,5000159650,"Ripton town, Addison County, Vermont",DP03_0092,29083
2011,5000159650,"Ripton town, Addison County, Vermont",DP03_0093,36458
2011,5000159650,"Ripton town, Addison County, Vermont",DP03_0094,36000
2011,5000162575,"Salisbury town, Addison County, Vermont",DP03_0092,29224
2011,5000162575,"Salisbury town, Addison County, Vermont",DP03_0093,41016
2011,5000162575,"Salisbury town, Addison County, Vermont",DP03_0094,33229
2011,5000165050,"Shoreham town, Addison County, Vermont",DP03_0092,28523
2011,5000165050,"Shoreham town, Addison County, Vermont",DP03_0093,41000
2011,5000165050,"Shoreham town, Addison County, Vermont",DP03_0094,31500
2011,5000170075,"Starksboro town, Addison County, Vermont",DP03_0092,33917
2011,5000170075,"Starksboro town, Addison County, Vermont",DP03_0093,49583
2011,5000170075,"Starksboro town, Addison County, Vermont",DP03_0094,41750
2011,5000174650,"Vergennes city, Addison County, Vermont",DP03_0092,23592
2011,5000174650,"Vergennes city, Addison County, Vermont",DP03_0093,48268
2011,5000174650,"Vergennes city, Addison County, Vermont",DP03_0094,31458
2011,5000176075,"Waltham town, Addison County, Vermont",DP03_0092,34028
2011,5000176075,"Waltham town, Addison County, Vermont",DP03_0093,62813
2011,5000176075,"Waltham town, Addison County, Vermont",DP03_0094,50938
2011,5000183275,"Weybridge town, Addison County, Vermont",DP03_0092,32417
2011,5000183275,"Weybridge town, Addison County, Vermont",DP03_0093,54286
2011,5000183275,"Weybridge town, Addison County, Vermont",DP03_0094,36250
2011,5000183800,"Whiting town, Addison County, Vermont",DP03_0092,25117
2011,5000183800,"Whiting town, Addison County, Vermont",DP03_0093,28750
2011,5000183800,"Whiting town, Addison County, Vermont",DP03_0094,31607
2011,5000301450,"Arlington town, Bennington County, Vermont",DP03_0092,28534
2011,5000301450,"Arlington town, Bennington County, Vermont",DP03_0093,43450
2011,5000301450,"Arlington town, Bennington County, Vermont",DP03_0094,36923
2011,5000304825,"Bennington town, Bennington County, Vermont",DP03_0092,21539
2011,5000304825,"Bennington town, Bennington County, Vermont",DP03_0093,41842
2011,5000304825,"Bennington town, Bennington County, Vermont",DP03_0094,30731
2011,5000317725,"Dorset town, Bennington County, Vermont",DP03_0092,25457
2011,5000317725,"Dorset town, Bennington County, Vermont",DP03_0093,34907
2011,5000317725,"Dorset town, Bennington County, Vermont",DP03_0094,39038
2011,5000327962,"Glastenbury town, Bennington County, Vermont",DP03_0092,NA
2011,5000327962,"Glastenbury town, Bennington County, Vermont",DP03_0093,NA
2011,5000327962,"Glastenbury town, Bennington County, Vermont",DP03_0094,NA
2011,5000339025,"Landgrove town, Bennington County, Vermont",DP03_0092,27875
2011,5000339025,"Landgrove town, Bennington County, Vermont",DP03_0093,32019
2011,5000339025,"Landgrove town, Bennington County, Vermont",DP03_0094,20833
2011,5000342850,"Manchester town, Bennington County, Vermont",DP03_0092,24355
2011,5000342850,"Manchester town, Bennington County, Vermont",DP03_0093,56250
2011,5000342850,"Manchester town, Bennington County, Vermont",DP03_0094,40687
2011,5000355000,"Peru town, Bennington County, Vermont",DP03_0092,27727
2011,5000355000,"Peru town, Bennington County, Vermont",DP03_0093,37917
2011,5000355000,"Peru town, Bennington County, Vermont",DP03_0094,46071
2011,5000357025,"Pownal town, Bennington County, Vermont",DP03_0092,30669
2011,5000357025,"Pownal town, Bennington County, Vermont",DP03_0093,39059
2011,5000357025,"Pownal town, Bennington County, Vermont",DP03_0094,30938
2011,5000358600,"Readsboro town, Bennington County, Vermont",DP03_0092,26000
2011,5000358600,"Readsboro town, Bennington County, Vermont",DP03_0093,60833
2011,5000358600,"Readsboro town, Bennington County, Vermont",DP03_0094,30750
2011,5000361000,"Rupert town, Bennington County, Vermont",DP03_0092,20972
2011,5000361000,"Rupert town, Bennington County, Vermont",DP03_0093,30391
2011,5000361000,"Rupert town, Bennington County, Vermont",DP03_0094,45750
2011,5000362875,"Sandgate town, Bennington County, Vermont",DP03_0092,25192
2011,5000362875,"Sandgate town, Bennington County, Vermont",DP03_0093,32188
2011,5000362875,"Sandgate town, Bennington County, Vermont",DP03_0094,35395
2011,5000363175,"Searsburg town, Bennington County, Vermont",DP03_0092,16442
2011,5000363175,"Searsburg town, Bennington County, Vermont",DP03_0093,40625
2011,5000363175,"Searsburg town, Bennington County, Vermont",DP03_0094,NA
2011,5000363550,"Shaftsbury town, Bennington County, Vermont",DP03_0092,29867
2011,5000363550,"Shaftsbury town, Bennington County, Vermont",DP03_0093,49102
2011,5000363550,"Shaftsbury town, Bennington County, Vermont",DP03_0094,37448
2011,5000369775,"Stamford town, Bennington County, Vermont",DP03_0092,33393
2011,5000369775,"Stamford town, Bennington County, Vermont",DP03_0093,52000
2011,5000369775,"Stamford town, Bennington County, Vermont",DP03_0094,38750
2011,5000371425,"Sunderland town, Bennington County, Vermont",DP03_0092,31936
2011,5000371425,"Sunderland town, Bennington County, Vermont",DP03_0093,38426
2011,5000371425,"Sunderland town, Bennington County, Vermont",DP03_0094,37188
2011,5000385075,"Winhall town, Bennington County, Vermont",DP03_0092,26118
2011,5000385075,"Winhall town, Bennington County, Vermont",DP03_0093,33958
2011,5000385075,"Winhall town, Bennington County, Vermont",DP03_0094,38250
2011,5000385675,"Woodford town, Bennington County, Vermont",DP03_0092,22353
2011,5000385675,"Woodford town, Bennington County, Vermont",DP03_0093,29375
2011,5000385675,"Woodford town, Bennington County, Vermont",DP03_0094,30208
2011,5000502875,"Barnet town, Caledonia County, Vermont",DP03_0092,25375
2011,5000502875,"Barnet town, Caledonia County, Vermont",DP03_0093,44183
2011,5000502875,"Barnet town, Caledonia County, Vermont",DP03_0094,31384
2011,5000510450,"Burke town, Caledonia County, Vermont",DP03_0092,28631
2011,5000510450,"Burke town, Caledonia County, Vermont",DP03_0093,40577
2011,5000510450,"Burke town, Caledonia County, Vermont",DP03_0094,34167
2011,5000517125,"Danville town, Caledonia County, Vermont",DP03_0092,29908
2011,5000517125,"Danville town, Caledonia County, Vermont",DP03_0093,45875
2011,5000517125,"Danville town, Caledonia County, Vermont",DP03_0094,33947
2011,5000530550,"Groton town, Caledonia County, Vermont",DP03_0092,25677
2011,5000530550,"Groton town, Caledonia County, Vermont",DP03_0093,42697
2011,5000530550,"Groton town, Caledonia County, Vermont",DP03_0094,27115
2011,5000531825,"Hardwick town, Caledonia County, Vermont",DP03_0092,25000
2011,5000531825,"Hardwick town, Caledonia County, Vermont",DP03_0093,33835
2011,5000531825,"Hardwick town, Caledonia County, Vermont",DP03_0094,27180
2011,5000537900,"Kirby town, Caledonia County, Vermont",DP03_0092,32583
2011,5000537900,"Kirby town, Caledonia County, Vermont",DP03_0093,41875
2011,5000537900,"Kirby town, Caledonia County, Vermont",DP03_0094,33583
2011,5000541725,"Lyndon town, Caledonia County, Vermont",DP03_0092,18838
2011,5000541725,"Lyndon town, Caledonia County, Vermont",DP03_0093,40714
2011,5000541725,"Lyndon town, Caledonia County, Vermont",DP03_0094,31659
2011,5000547725,"Newark town, Caledonia County, Vermont",DP03_0092,27443
2011,5000547725,"Newark town, Caledonia County, Vermont",DP03_0093,34327
2011,5000547725,"Newark town, Caledonia County, Vermont",DP03_0094,27222
2011,5000554400,"Peacham town, Caledonia County, Vermont",DP03_0092,31563
2011,5000554400,"Peacham town, Caledonia County, Vermont",DP03_0093,45078
2011,5000554400,"Peacham town, Caledonia County, Vermont",DP03_0094,43958
2011,5000561525,"Ryegate town, Caledonia County, Vermont",DP03_0092,28281
2011,5000561525,"Ryegate town, Caledonia County, Vermont",DP03_0093,36667
2011,5000561525,"Ryegate town, Caledonia County, Vermont",DP03_0094,29450
2011,5000562200,"St. Johnsbury town, Caledonia County, Vermont",DP03_0092,23529
2011,5000562200,"St. Johnsbury town, Caledonia County, Vermont",DP03_0093,42894
2011,5000562200,"St. Johnsbury town, Caledonia County, Vermont",DP03_0094,30729
2011,5000564075,"Sheffield town, Caledonia County, Vermont",DP03_0092,24750
