year,GEOID,NAME,Unemployment_Rate
2011,5000100325,"Addison town, Addison County, Vermont",4.2
2011,5000108575,"Bridport town, Addison County, Vermont",3
2011,5000109025,"Bristol town, Addison County, Vermont",7.2
2011,5000116000,"Cornwall town, Addison County, Vermont",4.4
2011,5000126300,"Ferrisburgh town, Addison County, Vermont",7.5
2011,5000128600,"Goshen town, Addison County, Vermont",1.7
2011,5000129575,"Granville town, Addison County, Vermont",4.2
2011,5000131525,"Hancock town, Addison County, Vermont",15
2011,5000139325,"Leicester town, Addison County, Vermont",11.7
2011,5000140075,"Lincoln town, Addison County, Vermont",6
2011,5000144350,"Middlebury town, Addison County, Vermont",6.3
2011,5000145550,"Monkton town, Addison County, Vermont",4.6
2011,5000148700,"New Haven town, Addison County, Vermont",4.6
2011,5000153725,"Orwell town, Addison County, Vermont",8.6
2011,5000153950,"Panton town, Addison County, Vermont",6.4
2011,5000159650,"Ripton town, Addison County, Vermont",5.1
2011,5000162575,"Salisbury town, Addison County, Vermont",5.2
2011,5000165050,"Shoreham town, Addison County, Vermont",8.8
2011,5000170075,"Starksboro town, Addison County, Vermont",6.3
2011,5000174650,"Vergennes city, Addison County, Vermont",7.8
2011,5000176075,"Waltham town, Addison County, Vermont",1.9
2011,5000183275,"Weybridge town, Addison County, Vermont",2.5
2011,5000183800,"Whiting town, Addison County, Vermont",6.4
2011,5000301450,"Arlington town, Bennington County, Vermont",5.6
2011,5000304825,"Bennington town, Bennington County, Vermont",8
2011,5000317725,"Dorset town, Bennington County, Vermont",5.2
2011,5000327962,"Glastenbury town, Bennington County, Vermont",NA
2011,5000339025,"Landgrove town, Bennington County, Vermont",5.9
2011,5000342850,"Manchester town, Bennington County, Vermont",3.7
2011,5000355000,"Peru town, Bennington County, Vermont",5.8
2011,5000357025,"Pownal town, Bennington County, Vermont",7.4
2011,5000358600,"Readsboro town, Bennington County, Vermont",0.8
2011,5000361000,"Rupert town, Bennington County, Vermont",8.4
2011,5000362875,"Sandgate town, Bennington County, Vermont",5.9
2011,5000363175,"Searsburg town, Bennington County, Vermont",13.8
2011,5000363550,"Shaftsbury town, Bennington County, Vermont",7.3
2011,5000369775,"Stamford town, Bennington County, Vermont",7.3
2011,5000371425,"Sunderland town, Bennington County, Vermont",5.1
2011,5000385075,"Winhall town, Bennington County, Vermont",5.9
2011,5000385675,"Woodford town, Bennington County, Vermont",4
